place_of_origin,country
United States,United States
Munich,Germany
Italy,Italy
France,France
Flanders,Belgium
Netherlands,Netherlands
Germany,Germany
Ireland,Ireland
Austria,Austria
Holland,Netherlands
Japan,Japan
China,China
Scotland,United Kingdom
Greece,Greece
Cales,Italy
Athens,Greece
Basilicata,Italy
Etruria,Italy
Campania,Italy
Apulia,Italy
Ancient Greece,Greece
New Mexico,United States
Central Italy,Italy
Rome,Italy
Nola,Italy
Roman Empire,Italy
Attica,Greece
Smyrna,Turkey
Egypt,Egypt
Spain,Spain
Syria,Syria
Paris,France
England,United Kingdom
Iran,Iran
Corinth,Greece
Chicago,United States
India,India
Lyon,France
Switzerland,Switzerland
Florence,Italy
Europe,Europe
Spitalfields,United Kingdom
Peru,Peru
Aubusson,France
Wales,United Kingdom
California,United States
Missouri,United States
Virginia,United States
Coventry,United Kingdom
Bennington,United States
Belgium,Belgium
Jouy-en-Josas,France
Savona,Italy
Barnstable,United States
Jingdezhen,China
Southern Europe,
Coclé,Panama
Philippines,Philippines
Junyao,China
Peruvian North Coast,Peru
Santa Valley,United States
United Kingdom,United Kingdom
Unknown Place,
Mexico,Mexico
Uruguay,Uruguay
Staffordshire,United Kingdom
Denmark,Denmark
Norway,Norway
Australia,Australia
Russia,Russia
New York City,United States
Newport,United States
Southern Peru,Peru
Brussels,Belgium
Limerick,Ireland
Bayeux,France
Middle East,
Cyprus,Cyprus
New York,United States
Canada,Canada
Bohemia,Czechia
Pennsylvania,United States
Korea,South Korea
London,United Kingdom
Czech Republic,Czechia
Istanbul,Turkey
Monte Palatino,Italy
Nazca Valley,Peru
Peruvian South Coast,Peru
Bucks County,United States
Bolivia,Bolivia
Turkey,Turkey
Sardinia,Italy
Nantes,France
Gloucester,United Kingdom
Cuzco,Peru
Venice,Italy
Chelsea,United Kingdom
Al Fayyum,Egypt
Guinea,Guinea
Massachusetts,United States
Carrickmacross,Ireland
New England,United States
Indiana,United States
Macedonia,North Macedonia
Bergama,Turkey
Thívai,
Knossos,Greece
Taranto,Italy
Kavála,Greece
Oria,Italy
Samnium,Italy
Levkás,Cyprus
Pella,Greece
Ephesus,Turkey
Antioch,Turkey
Khorasan,Iran
Alexandria,Egypt
Ghana,Ghana
Tlatilco,Mexico
Chupícuaro,Mexico
Oaxaca state,Mexico
Democratic Republic of the Congo,Democratic Republic of the Congo
Moche Valley,Peru
Veracruz state,Venezuela
Leeds,United Kingdom
Illinois,United States
Shelton,United States
Morocco,Morocco
Chicama Valley,Peru
Trujillo,Spain
Chimbote,Peru
Persia,Iran
Sunderland,United Kingdom
Burslem,United Kingdom
Lambeth,United Kingdom
Avon,France
Boston,United States
Derby,United Kingdom
Plymouth,United Kingdom
Worcester,United States
Frankenthal,Germany
Capodimonte,Italy
Moustiers-Sainte Marie,France
Rouen,France
Delft,Netherlands
Rhode Island,United States
Marseille,France
Niderviller,France
Chantilly,France
Tabriz,Iran
Basel,Switzerland
Bruges,Belgium
Seville,Spain
Siena,Italy
Middlesex,United Kingdom
Poland,Poland
Burkina Faso,Burkina Faso
Côte d'Ivoire,Côte d'Ivoire
Urbino,Italy
Perugia,Italy
Tibet,China
Philadelphia,United States
Gabon,Gabon
Panama,Panama
Cholula,Mexico
Mechelen,Belgium
Meissen,Germany
Nepal,Nepal
Brunswick,Germany
Haycock Township,United States
Gandhara,Sri Lanka
Paisley,United Kingdom
Augsburg,Germany
Lincoln,United States
Mennecy,France
Orrefors,Sweden
Portugal,Portugal
Sweden,Sweden
Tanágra,Greece
Nigeria,Nigeria
Achaea department,
Sant'Eufemia Vecchia di Lamezia Terme,Italy
Caulonia,Italy
Cnidus Nova,Italy
Crotone,Italy
Al Marj,Libya
Tyre,Lebanon
Metaponto,Italy
Miletus,Greece
Naples,Italy
Antalya Ili,Turkey
Jazirat Arwad,Syria
Pesto,
Messina,Italy
Selinunte,Italy
Sikión,Finland
Syracuse,Italy
Lárisa,Greece
Thessalía,Greece
Thrace,Greece
Thásos,Cyprus
Thurii Copia,Italy
Elea,Greece
Illyria,United States
Agrigento,Italy
Calabria,Italy
Carthage,Tunisia
Gela,Italy
Shahhat,Libya
Ionia,Greece
Acilia,Italy
Capua,Italy
Providence,United States
Milan,Italy
Chile,Chile
Israel,Israel
Byzantine Empire,Turkey
Ancient Mediterranean,
Puebla,Mexico
Iowa,United States
Vermont,United States
Isfahan,Iran
Creil,France
Puebla state,Mexico
Guanajuato state,Mexico
Montereau,France
Vincennes,France
Sèvres,France
Ansbach,Germany
Baltimore,United States
Nuremberg,Germany
Colombia,Colombia
Africa,
Cambodia,Cambodia
Mongolia,Mongolia
Finland,Finland
Yorkshire,United Kingdom
Ohio,United States
Vienna,Austria
Brazil,Brazil
